precinct,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N
1,84799,76937,57501,2655,96,14624,55,2006,7862,7409,613,257,2312,28,3743,47,90,2,155,6,2,20,34,98,2,405,71,42,0,83,24,0,60,37,65,1,4,1,11,0,4,0,0,1,0,1,46,7,0,25,2,6,0,0,5,0,0,0,0,0,0,1,2,0,1,1,0,0,0,0,0,84799,7024,77775,73295,55608,2410,40,14537,46,654,4480,4271,568,207,2276,28,931,32,87,2,49,5,0,0,28,58,0,196,52,34,0,28,21,0,0,34,14,0,2,1,8,0,2,0,0,0,0,0,13,7,0,3,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,50598,47663,13363,3556,109,27507,69,3059,2935,2749,232,72,565,18,1233,31,58,5,205,13,3,44,214,43,13,141,13,19,0,22,5,0,24,4,37,1,3,0,7,1,2,0,0,2,0,1,43,12,1,22,0,2,1,1,2,0,1,0,1,0,0,0,2,0,1,0,0,1,0,0,0,50598,6453,44145,42809,11970,2964,41,27432,44,358,1336,1263,177,56,541,18,119,24,49,5,33,11,1,0,209,20,0,58,2,17,0,4,5,0,3,4,14,0,3,0,3,1,1,0,0,0,0,1,14,8,0,1,0,2,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0
6,64643,59481,50320,1782,72,5635,34,1638,5162,4867,468,192,1316,21,2401,26,40,2,87,8,2,14,233,49,8,258,52,26,0,57,11,0,45,13,34,1,1,0,7,2,4,0,3,1,0,1,33,4,0,23,0,5,0,0,1,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,64643,5008,59635,56716,48912,1661,28,5590,31,494,2919,2801,425,167,1281,17,552,20,37,2,33,5,1,2,229,30,0,114,40,20,0,15,11,0,1,12,6,0,1,0,1,1,3,0,3,0,0,0,4,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,57985,51746,18416,6934,396,17779,46,8175,6239,5672,442,127,731,26,3127,106,73,3,780,31,1,62,26,76,61,442,91,33,0,162,11,0,54,6,39,6,7,1,12,0,15,1,2,1,0,1,110,17,0,83,3,4,0,0,2,0,1,0,0,0,0,0,14,3,4,6,0,0,1,1,1,57985,17241,40744,39070,15512,5456,57,17608,9,428,1674,1540,304,70,696,26,191,59,62,2,65,24,1,1,22,17,0,110,23,28,0,21,6,0,3,6,0,1,1,1,7,0,10,1,2,0,0,0,24,16,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,75951,68112,41843,6610,480,11322,84,7773,7839,7193,704,255,1189,25,3830,91,82,5,656,4,1,65,172,75,39,533,124,48,2,154,12,2,75,16,43,2,8,2,17,0,19,4,0,0,2,3,99,8,0,82,0,3,0,0,6,0,0,0,0,0,0,0,14,3,7,4,0,0,0,0,0,75951,17159,58792,55805,38321,5520,102,11206,59,597,2987,2786,571,180,1131,22,482,53,70,3,64,3,0,2,169,35,1,185,55,43,2,28,8,1,2,15,9,0,7,2,5,0,7,1,0,0,0,0,13,4,0,7,0,2,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
10,65570,59110,38396,5749,273,10326,175,4191,6460,5951,482,215,927,16,3574,79,69,3,422,17,0,30,63,40,14,439,91,34,1,153,13,1,75,11,41,2,6,1,5,0,1,0,0,2,0,2,70,7,1,52,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65570,12874,52696,50101,34811,4747,110,9895,51,487,2595,2424,412,179,898,12,612,57,62,2,91,11,0,0,61,26,1,156,60,27,1,25,9,1,0,11,16,1,3,1,0,0,1,0,0,0,0,0,15,7,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,100050,91506,67019,5078,194,15270,329,3616,8544,8058,685,252,1959,11,4256,78,70,2,290,5,1,39,331,73,6,427,73,43,0,112,7,0,70,14,65,0,5,1,21,0,6,3,1,4,1,1,49,7,0,31,0,6,0,0,5,0,0,0,0,0,0,0,10,4,5,0,0,0,1,0,0,100050,10164,89886,85418,64496,4637,97,15139,151,898,4468,4293,611,191,1903,9,975,64,64,1,84,5,0,0,328,58,0,162,48,38,0,29,6,0,2,13,12,0,4,1,7,0,0,1,1,0,0,0,9,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
14,28050,26020,13221,3940,103,7233,82,1441,2030,1848,141,54,380,10,947,36,17,2,135,6,0,13,66,34,7,168,31,10,0,52,3,0,24,15,13,0,3,0,9,0,5,0,0,3,0,0,12,3,0,5,0,3,0,0,1,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,28050,3999,24051,23111,12203,3428,43,7205,28,204,940,860,110,46,361,10,176,23,12,1,35,5,0,0,60,21,0,73,23,6,0,10,3,0,5,12,6,0,2,0,1,0,4,0,0,1,0,0,7,3,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,89367,82971,61467,2478,90,16938,67,1931,6396,6054,468,138,1424,12,3573,22,73,4,157,24,0,19,69,56,15,299,48,24,2,68,14,0,47,29,38,3,4,0,10,0,9,1,0,1,0,1,35,12,0,18,1,1,0,0,2,0,0,0,0,1,0,0,5,2,3,0,0,0,0,3,3,89367,6576,82791,79625,59818,2256,41,16879,45,586,3166,3024,431,128,1401,10,775,17,62,4,54,21,0,0,66,48,7,133,29,18,2,16,11,0,1,27,15,3,4,0,1,0,5,0,0,1,0,0,6,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2
18,67528,60827,37793,4810,289,13318,67,4550,6701,6194,495,217,943,10,3802,58,64,8,392,3,5,61,57,66,13,429,92,30,0,93,14,0,77,21,57,3,3,0,23,1,11,0,0,0,1,3,69,10,0,41,1,12,0,3,2,0,0,0,0,0,0,0,8,4,4,0,0,0,0,1,1,67528,11327,56201,53589,35536,4199,52,13231,29,542,2612,2434,411,164,918,10,642,46,59,6,74,3,1,6,55,39,0,148,51,22,0,7,11,0,5,19,21,0,3,0,5,0,4,0,0,0,0,0,27,9,0,8,0,7,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,1
19,220261,204191,170499,5538,240,22794,64,5056,16070,15136,1127,471,3600,40,8960,76,124,17,412,23,3,79,64,122,18,810,137,66,5,163,24,2,144,39,154,2,6,2,34,2,14,6,2,2,0,6,105,15,1,71,0,9,0,1,6,0,0,0,2,0,0,0,17,9,8,0,0,0,0,2,2,220261,17077,203184,195270,166155,5020,88,22639,51,1317,7914,7565,1017,377,3526,36,2138,55,111,14,139,14,1,2,58,74,3,313,91,50,3,41,20,2,5,35,41,1,5,2,3,2,9,1,2,0,0,0,27,10,1,8,0,5,0,1,0,0,0,0,2,0,0,0,8,5,3,0,0,0,0,1,1
20,114575,104806,82682,4738,226,13101,62,3997,9769,9184,748,308,2202,17,5088,77,77,6,489,9,2,44,37,69,11,493,75,38,1,124,19,0,70,19,101,6,12,0,17,3,6,1,0,0,1,0,87,9,1,52,1,16,3,0,2,0,1,0,1,0,0,1,4,1,2,1,0,0,0,1,1,114575,11207,103368,98539,80306,4201,95,12992,32,913,4829,4628,666,254,2146,13,1266,51,67,5,79,5,2,1,32,39,2,180,46,30,1,17,16,0,2,17,32,3,8,0,1,2,4,1,0,0,0,0,20,9,1,6,0,2,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0
22,129,117,39,58,3,2,0,15,12,12,0,2,1,0,3,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,32,97,88,32,49,3,2,0,2,9,9,0,2,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,74769,65320,17324,20650,1135,7765,72,18374,9449,8566,825,134,477,9,4401,304,102,6,1926,16,2,175,29,97,63,754,220,53,1,232,12,0,122,8,40,1,2,0,33,3,16,4,0,4,1,2,109,11,0,93,0,3,0,0,1,0,0,1,0,0,0,0,20,3,14,0,0,0,3,0,0,74769,33989,40780,38693,13021,17320,115,7647,14,576,2087,1893,535,87,447,9,270,206,94,5,175,12,1,1,27,18,6,178,64,39,1,18,11,0,2,7,17,1,2,0,6,3,7,0,0,0,0,0,11,7,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,0,0,0
24,107489,95643,63030,12329,476,9920,40,9848,11846,10886,1043,300,1681,25,5820,186,117,12,1376,15,3,111,29,118,50,779,198,52,3,250,11,0,126,4,71,2,6,1,29,2,15,5,0,1,0,3,167,12,2,137,0,13,0,1,0,0,2,0,0,0,0,0,13,2,8,3,0,0,0,1,1,107489,21611,85878,81348,59657,10742,94,9831,18,1006,4530,4274,837,229,1635,24,1045,132,106,11,168,12,0,9,29,37,0,229,119,41,3,21,10,0,2,2,15,1,5,1,4,1,4,0,0,0,0,0,25,6,2,9,0,5,0,1,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0
25,50996,44551,8254,20629,906,2265,66,12431,6445,5773,608,112,331,10,2404,273,81,8,1601,9,1,181,26,64,64,535,130,43,1,165,3,1,72,14,24,4,14,0,43,0,15,4,0,2,0,0,119,9,0,91,1,11,1,0,2,0,3,1,0,0,0,0,18,0,18,0,0,0,0,0,0,50996,22752,28244,26553,5844,17987,121,2178,16,407,1691,1522,454,61,307,10,134,195,74,4,231,5,1,4,24,17,1,148,45,32,1,25,3,1,0,13,5,0,13,0,4,0,5,1,0,0,0,0,20,7,0,4,0,6,0,0,0,0,3,0,0,0,0,0,1,0,1,0,0,0,0,0,0
26,50002,44630,18795,10272,391,8608,46,6518,5372,4922,547,155,827,11,2180,114,83,8,853,10,1,26,21,63,23,372,63,11,2,168,6,1,60,4,26,1,0,1,13,2,11,0,0,2,0,1,76,13,0,57,0,3,0,0,2,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,50002,12121,37881,35758,17337,9197,121,8565,20,518,2123,2012,461,122,803,11,283,83,78,7,104,10,1,3,18,24,4,97,34,10,2,22,6,1,1,4,7,0,0,1,0,2,6,0,0,1,0,0,14,10,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,49200,43577,12592,22728,237,2859,27,5134,5623,5078,871,118,554,12,1659,246,126,8,1336,6,0,60,22,40,20,459,150,52,1,143,14,0,51,7,16,1,11,0,8,0,4,0,0,1,0,0,67,3,0,61,0,2,0,0,0,0,1,0,0,0,0,0,18,2,14,1,0,0,1,1,1,49200,10416,38784,36203,11627,21144,88,2812,19,513,2581,2347,737,84,515,12,237,218,112,7,379,6,0,3,21,16,0,224,92,51,1,43,9,0,0,7,6,1,11,0,1,0,2,0,0,0,0,0,9,3,0,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
30,60456,51495,13068,16033,1002,2294,62,19036,8961,8111,752,154,444,22,3222,223,132,9,2667,15,0,283,28,97,63,700,166,33,0,289,6,0,101,9,32,0,4,4,36,4,10,1,1,3,0,1,140,9,0,119,0,7,0,1,1,0,1,0,2,0,0,0,9,2,7,0,0,0,0,1,1,60456,30402,30054,27946,10953,14125,94,2219,20,535,2108,1928,517,101,413,21,219,187,120,9,295,11,0,2,22,10,1,173,87,33,0,11,3,0,0,8,12,0,3,4,0,4,6,0,1,1,0,0,7,0,0,2,0,1,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
32,81240,73326,9970,49970,593,2311,94,10388,7914,7040,1201,108,380,17,1967,593,148,28,2345,8,1,112,32,48,52,745,244,45,0,245,13,2,80,12,24,5,12,0,31,4,16,5,0,1,0,6,112,13,2,84,0,8,0,0,3,0,1,0,1,0,0,0,14,4,10,0,0,0,0,3,3,81240,20488,60752,57725,8151,46466,186,2236,52,634,3027,2718,910,56,355,17,169,506,135,23,493,7,1,3,20,22,1,293,151,41,0,33,11,0,3,12,7,0,11,0,9,4,9,1,0,1,0,0,15,11,0,2,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
33,71598,58998,14290,10046,1069,3045,68,30480,12600,11270,749,152,403,18,5476,152,86,12,3668,5,4,328,20,132,65,1118,149,19,3,707,7,2,116,4,39,0,10,0,45,0,11,2,0,1,0,3,208,6,0,180,2,5,0,1,2,0,7,1,4,0,0,0,4,2,1,1,0,0,0,0,0,71598,47780,23818,22248,11132,7572,74,2891,24,555,1570,1436,397,93,376,15,224,80,66,10,132,3,2,4,17,17,0,119,42,16,3,15,3,0,2,4,18,0,6,0,4,0,6,0,0,0,0,0,15,5,0,1,1,2,0,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0
34,108608,89993,32088,9242,1288,3024,85,44266,18615,16562,1136,291,729,36,8431,151,137,17,4842,20,1,431,30,167,143,1676,247,48,1,986,12,0,174,10,82,6,5,0,79,2,14,3,0,1,2,4,351,9,2,320,1,13,1,0,4,0,1,0,0,0,0,0,24,8,11,3,0,0,2,2,2,108608,69464,39144,36565,27090,5589,78,2860,24,924,2579,2363,602,182,695,21,472,76,109,11,129,15,0,3,22,26,0,197,60,38,1,34,7,0,2,9,34,1,2,0,4,2,2,1,0,0,0,0,16,6,0,5,1,3,0,0,0,0,1,0,0,0,0,0,3,2,1,0,0,0,0,0,0
40,100929,86360,9590,34544,2348,1022,123,38733,14569,13372,946,157,119,9,5874,427,90,30,4733,31,13,642,20,119,162,962,244,9,2,394,2,3,76,5,30,0,17,3,135,5,20,1,0,7,1,8,213,9,2,173,1,18,0,0,2,1,1,0,3,0,2,1,19,2,16,1,0,0,0,3,3,100929,67216,33713,32166,2556,27765,166,909,26,744,1547,1374,522,43,82,5,59,242,76,23,246,25,3,11,19,16,2,146,83,4,1,17,2,2,0,2,5,0,13,3,1,4,4,0,0,2,1,2,24,4,2,6,1,8,0,0,0,1,0,0,0,0,1,1,3,1,2,0,0,0,0,0,0
41,54454,46522,4708,16498,1163,445,77,23631,7932,7328,411,56,71,1,3378,179,39,12,2701,8,7,284,13,58,110,477,87,13,0,225,2,1,52,0,12,1,3,0,58,2,12,5,0,1,3,0,118,8,4,85,1,15,0,0,3,0,0,0,1,0,1,0,9,1,8,0,0,0,0,0,0,54454,38895,15559,14856,941,13025,86,383,17,404,703,610,173,11,62,0,25,113,29,8,142,6,1,5,12,19,4,77,40,3,0,16,1,1,0,0,2,0,2,0,4,0,8,0,0,0,0,0,15,6,0,3,1,4,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0
42,93755,81483,6180,43033,1001,634,134,30501,12272,11370,846,80,103,6,4198,397,102,23,5063,8,7,309,22,102,104,748,131,12,4,382,5,1,52,3,24,3,3,0,73,2,21,17,0,6,2,7,129,22,2,98,0,4,0,0,1,1,0,0,0,0,1,0,23,9,12,2,0,0,0,2,2,93755,52646,41109,39537,1538,36599,174,518,27,681,1572,1449,471,17,87,0,50,300,87,16,365,7,0,3,20,23,3,111,54,5,4,14,1,1,1,3,5,0,1,0,4,2,11,2,0,1,0,2,8,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0
43,188015,164196,16063,58804,3306,21561,244,64218,23819,21790,1564,181,475,16,10332,685,248,54,6296,113,9,801,51,697,268,1575,368,66,5,678,12,1,166,4,47,9,21,8,107,6,50,10,0,11,0,6,417,45,3,333,0,23,3,0,3,0,1,0,1,0,3,2,36,8,26,2,0,0,0,1,1,188015,103510,84505,80433,4848,50332,641,21300,74,3238,4072,3760,852,59,424,3,138,456,210,44,760,108,2,107,48,495,54,256,98,49,5,27,3,1,0,3,3,0,17,4,14,2,19,2,0,5,0,4,44,27,1,10,0,3,0,0,0,0,0,0,0,0,2,1,11,5,6,0,0,0,0,1,1
44,150436,130065,10327,50918,2362,2745,186,63527,20371,18630,1140,103,164,4,7494,446,149,42,7703,36,8,794,34,261,252,1422,236,51,2,764,5,0,91,7,31,14,6,2,120,11,36,16,2,13,5,10,286,11,1,235,0,18,2,0,5,0,8,0,1,0,3,2,32,8,19,4,0,1,0,1,1,150436,97804,52632,50523,3240,43227,232,2596,38,1190,2109,1863,532,33,127,0,81,309,120,32,478,19,2,21,30,64,15,215,107,32,2,15,2,0,1,6,5,0,4,1,9,7,11,2,2,6,0,3,28,7,1,14,0,2,0,0,0,0,4,0,0,0,0,0,3,2,1,0,0,0,0,0,0
45,130799,114904,39963,35277,1214,9313,108,29029,15895,14340,1183,212,436,12,8111,344,139,19,3133,52,13,249,33,287,117,1232,303,40,2,576,5,0,123,8,34,4,19,2,68,7,16,5,1,9,2,8,298,18,2,255,0,12,2,1,0,0,2,0,2,0,3,1,23,1,19,2,1,0,0,2,2,130799,53720,77079,74315,32282,31226,250,9147,39,1371,2764,2520,697,84,392,3,269,229,119,17,401,47,4,28,33,177,20,218,116,27,1,26,4,0,0,5,4,0,12,2,4,6,5,0,1,3,0,2,20,7,2,4,0,2,0,1,0,0,1,0,0,0,2,1,6,0,6,0,0,0,0,0,0
46,132584,113895,8476,41668,2364,2040,151,59196,18689,17179,997,156,98,6,6693,475,106,34,6991,23,5,1005,27,250,313,1240,182,35,0,726,2,1,80,2,38,10,12,0,115,1,14,7,0,8,2,5,248,27,1,212,0,4,0,0,1,0,0,0,1,0,2,0,21,10,10,0,1,0,0,1,1,132584,90730,41854,40013,1991,34598,276,1888,33,1227,1841,1704,476,39,81,4,64,330,74,31,459,9,0,16,26,85,10,118,52,22,0,24,0,0,0,0,1,0,9,0,3,1,3,1,0,2,0,0,13,9,1,2,0,0,0,0,0,0,0,0,0,0,1,0,5,4,1,0,0,0,0,1,1
47,163539,148557,13660,104678,1089,3551,162,25417,14982,13646,1507,146,227,19,4406,651,410,105,5200,91,4,373,32,344,131,1084,266,67,6,404,12,3,84,7,29,9,10,2,88,6,48,16,0,18,4,5,216,31,2,139,2,21,0,0,2,2,4,0,5,0,8,0,27,10,15,1,1,0,0,9,9,163539,44186,119353,114821,9349,99024,439,3440,68,2501,4532,4132,1100,50,209,7,120,522,372,88,1207,82,1,40,24,272,38,339,177,53,3,39,3,2,5,7,4,0,7,0,6,2,20,2,0,6,2,1,52,19,2,14,2,5,0,0,1,1,4,0,1,0,3,0,7,3,4,0,0,0,0,2,2
48,89216,77382,11313,29060,1502,1243,117,34147,11834,10879,763,117,174,7,4876,326,71,31,3788,24,7,342,32,122,199,786,160,27,0,348,3,0,94,1,23,7,8,1,73,3,17,7,0,6,3,5,157,4,2,116,0,20,2,1,0,0,0,1,4,0,6,1,11,3,6,2,0,0,0,1,1,89216,56181,33035,31502,5653,23765,173,1148,31,732,1533,1401,449,50,153,2,95,227,49,24,256,16,2,7,29,33,9,119,60,18,0,18,1,0,0,0,4,0,5,1,4,3,1,2,0,2,0,0,12,2,1,2,0,2,0,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0
49,119881,104273,32302,27188,1453,11339,92,31899,15608,14165,845,107,971,9,7051,338,177,49,3644,34,8,374,43,329,186,1165,214,26,2,477,4,2,227,17,58,4,9,5,68,4,24,16,0,2,2,4,256,13,1,203,0,18,1,0,5,0,3,1,7,0,3,1,20,7,9,1,1,2,0,2,2,119881,53974,65907,62853,26298,23578,239,11154,29,1555,3054,2836,480,50,921,5,269,217,151,45,401,28,5,33,40,175,16,185,83,19,2,18,2,2,0,15,12,2,5,3,3,1,14,0,0,1,0,3,29,7,1,12,0,1,0,0,0,0,3,1,3,0,1,0,4,1,3,0,0,0,0,0,0
50,106976,91457,39578,14782,993,5507,96,30501,15519,13817,1116,212,713,8,6974,211,119,47,3751,21,5,296,29,172,143,1335,249,35,5,684,9,1,158,6,40,8,6,0,91,5,18,9,4,3,2,2,356,14,2,308,0,20,0,0,3,0,5,1,2,0,1,0,11,2,8,1,0,0,0,0,0,106976,52328,54648,51997,34115,11273,134,5329,41,1105,2651,2460,662,92,684,4,392,112,92,36,268,20,1,10,23,52,12,164,65,27,5,14,6,0,4,5,10,0,6,0,9,3,4,1,4,1,0,0,23,8,1,5,0,5,0,0,2,0,1,1,0,0,0,0,4,1,3,0,0,0,0,0,0
52,146888,124802,15886,30514,2840,10244,151,65167,22086,20038,1065,157,340,14,9218,310,156,34,7078,57,15,905,47,350,292,1672,264,40,8,903,7,2,214,6,34,7,8,0,97,6,27,16,1,10,9,13,361,16,4,301,0,23,0,0,2,1,6,0,3,1,3,1,14,2,12,0,0,0,0,1,1,146888,100021,46867,44712,8272,24467,289,10025,35,1624,2155,1948,426,39,317,11,112,189,130,29,404,55,1,20,43,159,13,180,86,19,5,14,3,1,0,3,7,1,7,0,0,5,16,5,0,6,0,2,24,9,3,8,0,2,0,0,0,0,0,0,1,1,0,0,3,1,2,0,0,0,0,0,0
60,109024,102409,58916,14506,715,18049,58,10165,6615,6158,508,132,1763,13,2386,162,98,16,767,19,4,115,40,93,42,393,117,14,2,116,6,1,49,13,34,1,4,1,17,2,9,1,0,5,0,1,56,10,1,36,0,5,0,0,2,1,0,0,1,0,0,0,8,3,3,0,0,0,2,0,0,109024,17519,91505,88317,56425,13052,105,17940,33,762,3188,3017,348,64,1744,11,284,125,86,16,218,13,1,3,40,56,8,156,63,10,1,23,3,0,5,13,19,0,0,1,6,2,7,0,0,2,0,1,13,7,0,2,0,3,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0
61,169513,159548,107999,7259,687,34533,49,9021,9965,9378,544,196,3862,26,3569,98,104,24,551,41,1,153,42,155,12,501,109,45,1,118,8,4,81,23,51,0,9,1,23,1,19,1,1,3,2,1,74,11,2,31,1,12,1,0,2,1,2,0,9,0,2,0,10,9,1,0,0,0,0,2,2,169513,15677,153836,147933,105654,6642,100,34347,27,1163,5903,5654,438,150,3819,22,683,63,83,22,187,32,1,2,40,108,4,213,52,37,0,34,6,4,0,22,35,0,5,0,4,1,11,0,1,1,0,0,29,8,2,6,1,0,0,0,2,0,0,0,8,0,2,0,7,7,0,0,0,0,0,0,0
62,198870,187559,75907,2848,2283,86466,68,19987,11311,10674,556,185,3728,16,4799,99,111,11,447,43,3,391,51,204,30,509,111,50,1,132,21,1,57,20,33,4,7,5,25,3,19,9,1,4,2,4,107,10,4,55,4,20,0,0,6,0,2,1,4,0,1,0,19,6,13,0,0,0,0,2,2,198870,31489,167381,161997,72496,2353,111,86067,33,937,5384,5151,472,116,3654,16,450,47,94,9,84,32,2,15,47,106,7,193,43,38,1,20,17,1,4,18,15,0,3,4,9,2,12,0,1,3,1,1,32,3,2,6,2,12,0,0,1,0,2,0,3,0,1,0,7,5,2,0,0,0,0,1,1
