precinct,P1_001N,P1_002N,P1_003N,P1_004N,P1_005N,P1_006N,P1_007N,P1_008N,P1_009N,P1_010N,P1_011N,P1_012N,P1_013N,P1_014N,P1_015N,P1_016N,P1_017N,P1_018N,P1_019N,P1_020N,P1_021N,P1_022N,P1_023N,P1_024N,P1_025N,P1_026N,P1_027N,P1_028N,P1_029N,P1_030N,P1_031N,P1_032N,P1_033N,P1_034N,P1_035N,P1_036N,P1_037N,P1_038N,P1_039N,P1_040N,P1_041N,P1_042N,P1_043N,P1_044N,P1_045N,P1_046N,P1_047N,P1_048N,P1_049N,P1_050N,P1_051N,P1_052N,P1_053N,P1_054N,P1_055N,P1_056N,P1_057N,P1_058N,P1_059N,P1_060N,P1_061N,P1_062N,P1_063N,P1_064N,P1_065N,P1_066N,P1_067N,P1_068N,P1_069N,P1_070N,P1_071N,P2_001N,P2_002N,P2_003N,P2_004N,P2_005N,P2_006N,P2_007N,P2_008N,P2_009N,P2_010N,P2_011N,P2_012N,P2_013N,P2_014N,P2_015N,P2_016N,P2_017N,P2_018N,P2_019N,P2_020N,P2_021N,P2_022N,P2_023N,P2_024N,P2_025N,P2_026N,P2_027N,P2_028N,P2_029N,P2_030N,P2_031N,P2_032N,P2_033N,P2_034N,P2_035N,P2_036N,P2_037N,P2_038N,P2_039N,P2_040N,P2_041N,P2_042N,P2_043N,P2_044N,P2_045N,P2_046N,P2_047N,P2_048N,P2_049N,P2_050N,P2_051N,P2_052N,P2_053N,P2_054N,P2_055N,P2_056N,P2_057N,P2_058N,P2_059N,P2_060N,P2_061N,P2_062N,P2_063N,P2_064N,P2_065N,P2_066N,P2_067N,P2_068N,P2_069N,P2_070N,P2_071N,P2_072N,P2_073N
63,112652,104702,41229,49319,405,8665,28,5056,7950,7449,813,153,629,18,2101,238,251,14,2948,28,1,79,19,127,30,398,67,42,3,117,14,1,53,13,30,0,8,2,15,3,26,1,0,1,2,0,89,9,0,54,2,14,0,0,7,0,0,1,2,0,0,0,13,6,5,2,0,0,0,1,1,112652,10247,102405,97777,39729,48030,142,8614,15,1247,4628,4400,733,102,591,16,371,195,221,9,2026,26,1,7,16,78,8,196,39,34,3,48,11,1,3,12,10,0,5,2,4,3,20,0,0,1,0,0,25,6,0,9,1,8,0,0,0,0,0,0,1,0,0,0,6,3,3,0,0,0,0,1,1
66,205377,194686,123991,5326,1529,42477,53,21310,10691,10072,465,209,2341,22,5515,70,140,17,551,67,1,405,54,191,24,502,95,33,5,136,11,0,95,17,43,2,11,2,17,3,28,1,0,1,1,1,106,22,3,67,0,4,0,0,3,0,2,0,3,0,2,0,10,5,5,0,0,0,0,1,1,205377,25170,180207,174657,121295,4794,153,42293,21,6101,5550,5315,386,118,2313,21,1811,43,129,17,201,61,1,15,49,142,8,200,60,24,5,31,6,0,1,16,18,1,9,2,2,3,19,1,0,1,0,1,28,16,0,4,0,2,0,0,0,0,2,0,3,0,1,0,7,5,2,0,0,0,0,0,0
67,162446,147918,6751,130621,571,3090,78,6807,14528,13816,1517,127,322,19,914,561,454,76,9483,40,5,84,36,139,39,611,151,73,5,165,20,1,43,11,33,6,20,1,35,1,37,4,2,1,0,2,90,12,1,37,2,14,1,0,8,0,1,2,9,0,3,0,11,2,5,2,0,0,2,0,0,162446,13313,149133,138463,5837,127289,345,3036,56,1900,10670,10298,1412,64,303,17,79,510,438,74,7218,33,5,8,30,96,11,337,112,58,4,60,16,1,0,8,15,1,12,0,17,1,28,0,2,1,0,1,31,8,1,3,2,7,0,0,3,0,0,0,4,0,3,0,4,1,1,0,0,0,2,0,0
68,136071,126197,72917,2802,991,36818,34,12635,9874,9139,844,286,1507,38,5188,88,128,7,502,50,1,282,41,144,33,583,111,43,0,156,14,2,111,15,59,4,4,1,32,1,15,6,1,4,1,3,139,18,1,92,3,17,2,0,3,0,1,0,0,0,2,0,5,2,3,0,0,0,0,8,8,136071,23233,112838,109307,69293,2356,103,36619,19,917,3531,3305,665,196,1449,35,520,46,115,6,115,40,1,8,38,65,6,181,45,39,0,24,8,2,2,15,23,1,3,0,4,1,7,2,1,3,0,1,42,14,1,12,3,8,0,0,1,0,1,0,0,0,2,0,2,2,0,0,0,0,0,1,1
69,90763,83803,4138,73947,223,1900,41,3554,6960,6509,656,58,215,4,714,318,272,17,4092,19,4,42,22,60,16,383,94,35,4,113,6,0,30,12,19,2,12,0,21,9,22,2,0,1,0,1,59,13,0,32,0,7,0,0,4,0,1,0,1,0,1,0,9,2,7,0,0,0,0,0,0,90763,7594,83169,78491,3455,72127,126,1865,9,909,4678,4451,581,39,210,3,55,274,259,16,2934,17,3,4,18,36,2,209,68,29,4,32,6,0,5,12,8,0,8,0,10,9,18,0,0,0,0,0,14,7,0,2,0,4,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,0,0,0,0
70,164568,150640,63923,48574,1214,21485,63,15381,13928,12999,1239,232,2799,29,3936,334,321,36,3476,74,5,241,34,201,42,774,151,87,3,218,19,0,110,42,41,3,12,4,38,9,24,1,1,11,0,0,143,17,1,90,0,13,0,1,8,1,2,0,9,0,1,0,10,4,5,0,0,0,1,2,2,164568,24726,139842,131830,61736,46445,221,21317,29,2082,8012,7594,1093,170,2758,24,855,239,309,33,1848,69,5,7,29,150,5,373,89,76,3,71,16,0,1,42,22,0,10,3,10,7,16,0,1,6,0,0,41,11,1,14,0,1,0,1,3,0,2,0,8,0,0,0,3,2,1,0,0,0,0,1,1
71,102000,93284,29584,54740,335,2708,35,5882,8716,8118,1159,127,613,16,1940,321,245,27,3484,28,1,58,37,45,17,480,124,40,1,125,6,1,74,19,12,1,3,0,35,3,29,1,2,3,0,1,103,20,1,66,1,8,1,1,0,1,0,2,0,0,2,0,13,3,10,0,0,0,0,2,2,102000,10478,91522,86258,28532,52807,125,2640,21,2133,5264,4983,1045,92,595,14,663,282,231,24,1941,24,1,9,32,25,5,247,98,33,1,49,5,0,0,18,4,0,2,0,8,3,21,1,2,1,0,1,29,16,0,5,1,5,0,0,0,0,0,0,0,0,2,0,4,1,3,0,0,0,0,1,1
72,133230,119719,37667,5424,2815,40609,81,33123,13511,12458,759,343,1283,19,7586,101,120,21,1166,30,0,753,57,154,66,864,103,59,1,291,8,0,233,19,59,6,6,1,34,2,26,8,0,4,2,2,177,17,1,134,1,17,0,0,4,1,1,0,1,0,0,0,10,3,7,0,0,0,0,2,2,133230,52310,80920,77659,31915,4209,143,40415,29,948,3261,3011,570,156,1233,18,504,46,103,13,169,26,0,15,57,92,9,213,37,46,1,48,6,0,2,18,11,3,3,0,12,2,18,2,0,3,0,1,32,9,0,12,1,8,0,0,0,0,1,0,1,0,0,0,3,3,0,0,0,0,0,2,2
73,98506,89305,5373,70765,697,1413,92,10965,9201,8627,999,74,157,3,1541,499,117,27,4869,13,1,107,84,81,55,490,136,59,5,142,10,0,27,8,22,5,4,0,35,4,23,3,0,5,2,0,79,12,3,43,1,10,0,0,2,0,0,1,4,0,3,0,5,1,3,0,0,0,1,0,0,98506,21709,76797,72241,3347,66418,263,1331,37,845,4556,4298,826,43,145,2,69,427,100,26,2511,8,1,12,82,38,8,219,78,50,3,29,9,0,2,8,13,0,4,0,4,4,11,1,0,3,0,0,38,12,3,9,1,6,0,0,0,0,0,0,4,0,3,0,1,1,0,0,0,0,0,0,0
75,200994,176449,12658,100195,2072,15070,177,46277,24545,22986,1697,160,396,22,7273,816,417,99,10394,159,21,625,73,608,226,1294,294,60,5,564,17,0,91,22,52,15,19,3,63,4,54,6,2,11,2,10,233,29,3,161,2,23,1,2,2,1,1,1,3,0,4,0,20,11,8,0,0,0,1,12,12,200994,73762,127232,118297,6428,92617,736,14779,58,3679,8935,8469,1207,73,367,18,156,677,379,96,4594,155,20,87,66,516,58,404,148,40,4,65,13,0,2,19,20,4,13,0,21,3,34,0,2,8,0,8,53,22,0,13,1,10,0,1,0,0,1,0,1,0,4,0,8,6,1,0,0,0,1,1,1
76,47789,42553,28940,6409,255,3039,26,3884,5236,4882,455,153,1151,19,2371,126,56,5,414,4,0,71,10,32,15,295,52,14,0,116,2,0,40,8,29,0,1,1,16,0,11,1,0,1,0,3,55,5,0,42,1,2,0,1,4,0,0,0,0,0,0,0,4,2,1,0,0,0,1,0,0,47789,9134,38655,36180,27184,5572,56,2998,18,352,2475,2371,385,95,1128,18,456,87,55,1,100,4,0,7,9,23,3,89,30,14,0,16,1,0,0,7,5,0,1,0,4,0,8,0,0,1,0,2,13,3,0,7,0,1,0,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
77,101267,91157,28691,51032,371,4865,56,6142,10110,9394,1514,199,1200,34,2381,364,260,41,3165,16,1,84,32,76,27,599,152,39,1,195,18,0,67,10,40,1,14,0,36,3,19,0,0,1,0,3,108,20,4,69,1,7,0,0,4,0,1,0,2,0,0,0,9,1,8,0,0,0,0,0,0,101267,13380,87887,81922,27086,48696,161,4760,31,1188,5965,5699,1352,136,1161,33,572,316,251,40,1736,13,1,14,28,44,2,235,81,34,1,41,12,0,1,10,18,1,10,0,7,3,16,0,0,0,0,0,29,15,1,6,1,4,0,0,0,0,0,0,2,0,0,0,2,1,1,0,0,0,0,0,0
78,73203,64888,48410,6295,226,6149,44,3764,8315,7697,798,272,2086,6,3620,99,120,25,502,18,0,32,35,69,15,547,81,67,0,136,19,2,100,17,76,1,7,4,20,0,12,1,0,1,1,2,59,4,0,40,0,11,1,0,2,0,1,0,0,0,0,0,9,3,5,0,0,1,0,3,3,73203,9769,63434,58991,46560,5731,48,6069,30,553,4443,4214,723,203,2036,6,835,72,106,22,134,14,0,1,33,28,1,214,50,61,0,13,14,2,5,16,28,0,5,4,7,0,7,1,0,0,0,1,9,2,0,5,0,1,0,0,1,0,0,0,0,0,0,0,4,1,2,0,0,1,0,2,2
79,106039,95985,37115,40932,735,5539,74,11590,10054,9210,1307,213,1024,22,3153,394,234,22,2462,14,2,187,32,107,37,720,162,70,2,260,13,0,73,20,35,2,8,2,34,1,27,6,0,2,0,3,108,10,0,77,0,15,1,0,2,0,1,0,1,0,1,0,15,5,9,1,0,0,0,1,1,106039,20834,85205,80411,34605,38582,185,5460,40,1539,4794,4470,1107,139,1002,19,535,324,206,21,1022,13,2,9,31,37,3,296,102,57,1,49,13,0,3,19,16,0,7,0,7,1,17,3,0,1,0,0,22,5,0,9,0,6,1,0,0,0,0,0,1,0,0,0,5,2,3,0,0,0,0,1,1
81,68921,62198,13309,40043,465,2588,43,5750,6723,6130,966,136,563,15,1545,373,158,13,2160,14,1,79,24,65,18,532,134,50,0,162,7,1,52,19,37,0,14,1,25,1,22,0,0,3,2,2,46,10,1,28,0,5,0,0,1,0,0,0,1,0,0,0,11,5,6,0,0,0,0,4,4,68921,11954,56967,53387,11987,38094,198,2528,22,558,3580,3304,875,103,545,13,200,332,149,12,995,12,1,7,24,32,4,259,96,41,0,49,7,0,1,18,10,0,13,1,7,1,13,0,0,0,2,0,14,9,0,2,0,2,0,0,0,0,0,0,1,0,0,0,3,3,0,0,0,0,0,0,0
83,120747,104601,33874,21055,2332,7593,163,39584,16146,14778,1159,395,1059,49,7248,229,187,15,3404,24,4,690,61,152,102,1117,186,48,4,439,11,4,217,31,60,6,14,1,63,4,23,1,0,2,2,1,241,5,1,217,1,8,0,1,3,0,2,0,2,0,1,0,10,1,7,0,0,0,2,0,0,120747,61627,59120,55032,27883,18163,240,7402,94,1250,4088,3801,792,244,1014,44,431,163,176,12,720,15,4,34,56,84,12,268,92,45,4,28,8,2,2,28,16,1,8,0,14,3,15,0,0,1,0,1,17,1,1,11,1,2,0,0,0,0,0,0,1,0,0,0,2,1,1,0,0,0,0,0,0
84,65597,58949,40166,6519,162,9446,18,2638,6648,6225,703,196,1708,15,2757,77,103,9,429,15,2,46,92,56,17,362,52,37,1,91,7,0,74,20,51,3,7,0,9,1,6,2,0,1,0,0,56,3,0,46,0,5,0,0,0,1,0,0,1,0,0,0,5,2,3,0,0,0,0,0,0,65597,7193,58404,54722,38723,6053,59,9376,7,504,3682,3543,617,145,1674,15,682,54,93,7,113,14,2,0,91,34,2,131,29,31,1,18,6,0,0,20,11,1,4,0,3,1,6,0,0,0,0,0,6,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
88,64372,57785,25351,20359,319,7347,65,4344,6587,6039,897,132,1168,25,2147,199,140,10,1074,14,0,76,52,83,22,466,118,59,3,143,6,1,59,10,31,1,9,0,13,2,10,0,0,0,1,0,75,9,1,45,1,14,0,0,1,0,3,0,1,0,0,0,7,4,2,0,0,0,1,0,0,64372,9832,54540,51045,23975,18974,140,7289,27,640,3495,3266,805,97,1146,23,405,162,131,9,376,8,0,3,52,48,1,208,75,48,3,37,3,0,3,10,5,1,7,0,6,2,8,0,0,0,0,0,18,5,1,3,1,7,0,0,0,0,0,0,1,0,0,0,3,2,0,0,0,0,1,0,0
90,131377,119099,80989,9779,845,7995,85,19406,12278,11337,730,278,1273,46,6820,160,97,16,1540,16,1,185,17,81,77,769,150,37,0,287,14,0,140,18,53,4,8,0,28,2,20,2,2,0,1,3,160,5,0,148,0,3,0,0,2,1,1,0,0,0,0,0,11,5,4,2,0,0,0,1,1,131377,33797,97580,93744,75685,7867,122,7869,38,2163,3836,3629,463,188,1239,44,1296,106,82,14,130,12,1,8,17,22,7,189,56,27,0,26,6,0,4,18,12,0,7,0,6,2,17,2,2,0,1,3,11,3,0,7,0,1,0,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,1,1
94,72748,65341,50876,3301,351,5836,56,4921,7407,6912,608,343,1486,30,3813,59,57,9,296,24,0,67,28,82,10,436,80,23,0,113,12,1,118,17,43,0,3,0,8,0,11,2,0,1,0,4,47,8,1,27,0,5,1,0,3,0,1,0,1,0,0,0,11,2,7,2,0,0,0,1,1,72748,11679,61069,57817,48597,2825,82,5762,24,527,3252,3094,521,277,1446,28,578,39,53,7,46,22,0,3,21,51,2,148,39,18,0,38,12,1,1,17,12,0,3,0,2,0,2,1,0,0,0,2,8,3,0,1,0,2,0,0,0,0,1,0,1,0,0,0,2,1,1,0,0,0,0,0,0
100,50809,46659,27528,12598,349,1876,31,4277,4150,3862,381,82,234,12,1784,158,73,3,959,16,2,56,13,79,10,243,57,23,1,100,2,0,22,0,17,3,2,0,8,0,6,0,0,0,1,1,44,5,0,34,0,2,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,50809,8671,42138,40382,25976,11780,122,1843,19,642,1756,1681,306,70,225,12,231,129,64,2,545,15,2,5,13,58,4,68,13,14,1,15,2,0,4,0,10,0,1,0,1,0,5,0,0,0,1,1,6,2,0,1,0,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
101,73376,66725,16237,35225,683,1769,65,12746,6651,6214,604,74,115,7,2280,283,147,25,2230,40,11,177,14,137,70,363,100,25,2,120,6,0,39,4,20,1,7,3,6,4,15,0,0,7,2,2,59,11,0,31,0,10,1,0,4,0,0,0,1,0,1,0,15,4,11,0,0,0,0,0,0,73376,19922,53454,50587,14213,33092,292,1710,50,1230,2867,2680,486,29,107,5,245,239,132,25,1194,37,4,26,13,111,27,164,72,21,0,21,4,0,1,4,8,0,7,3,2,3,12,0,0,5,0,1,19,11,0,0,0,6,0,0,0,0,0,0,1,0,1,0,4,3,1,0,0,0,0,0,0
102,153297,130207,29355,11934,3222,39235,207,46254,23090,21426,701,240,968,24,11148,247,842,112,3219,460,21,752,86,2334,272,1389,207,65,7,427,17,2,257,19,69,5,23,2,47,14,150,11,2,30,7,28,250,19,2,179,2,23,1,4,7,0,3,3,2,3,1,1,24,13,9,2,0,0,0,1,1,153297,63683,89614,82246,23382,10249,1545,38847,126,8097,7368,6887,430,103,907,20,384,171,813,111,914,447,16,229,77,2120,145,430,62,50,6,30,11,0,3,18,15,1,18,1,8,13,137,5,2,24,1,25,47,13,1,10,2,8,0,2,3,0,0,3,1,3,1,0,4,1,3,0,0,0,0,0,0
103,121059,108855,5461,42514,2177,32103,163,26437,12204,11476,592,88,244,9,3499,380,683,77,3228,333,6,483,86,1519,249,604,103,43,1,156,11,1,81,14,52,1,7,0,34,7,64,8,0,9,2,10,112,33,1,40,4,18,0,1,4,0,2,1,1,0,4,3,12,0,12,0,0,0,0,0,0,121059,31078,89981,83497,2953,40779,1143,31915,117,6590,6484,6138,449,45,212,8,109,335,651,74,2082,332,3,130,81,1436,191,292,71,39,1,38,10,1,1,13,18,0,7,0,7,6,57,8,0,6,1,8,53,28,0,4,4,9,0,0,1,0,1,1,0,0,4,1,1,0,1,0,0,0,0,0,0
104,178948,160015,94267,5141,1720,19624,101,39162,18933,17362,899,353,1267,26,11964,123,176,15,1419,38,19,727,49,218,69,1307,373,46,5,406,14,1,251,20,74,5,13,1,29,7,29,11,4,4,1,13,240,14,2,177,5,26,0,1,5,0,1,3,2,0,1,3,20,8,8,1,2,1,0,4,4,178948,64507,114441,110894,85977,3912,159,19333,55,1458,3547,3293,591,193,1208,23,664,53,159,11,162,30,12,35,42,99,11,208,34,30,3,41,3,0,7,13,18,0,8,1,5,3,18,9,3,2,1,9,43,11,1,10,5,9,0,1,0,0,0,3,1,0,1,1,2,0,0,0,2,0,0,1,1
105,199218,182682,21054,105514,1369,37173,148,17424,16536,15333,1368,159,518,13,4128,657,868,113,5244,267,1,304,121,1432,140,1007,210,65,4,267,15,1,150,12,93,8,18,2,43,2,69,9,7,11,1,20,167,26,1,95,6,30,0,0,2,0,1,1,0,0,1,4,28,5,20,2,1,0,0,1,1,199218,24911,174307,164914,18192,102711,988,36954,118,5951,9393,8864,1189,89,474,8,244,592,840,112,3401,256,0,132,114,1301,112,459,152,58,4,57,10,1,3,11,33,0,15,2,21,1,52,6,7,8,0,18,59,20,1,15,6,16,0,0,0,0,0,0,0,0,1,0,10,3,6,0,1,0,0,1,1
106,129391,110536,29507,19070,3298,28115,191,30355,18855,17780,567,136,511,28,5479,321,1504,258,3602,733,24,664,65,3524,364,907,92,56,6,273,18,1,91,7,36,0,18,1,53,5,160,9,3,60,5,13,156,34,0,83,2,23,0,0,3,0,1,1,1,0,3,5,11,2,9,0,0,0,0,1,1,129391,30577,98814,87684,25670,17971,2581,27838,140,13484,11130,10641,362,85,463,27,302,278,1483,255,2496,723,21,453,60,3333,300,434,24,36,6,44,18,0,5,7,19,0,15,1,26,3,156,4,3,57,2,8,51,28,0,3,2,11,0,0,1,0,0,0,1,0,3,2,4,1,3,0,0,0,0,0,0
107,161402,147139,47979,19963,1158,60722,105,17212,14263,13144,876,159,1774,17,6695,209,366,59,1674,112,2,313,107,672,109,945,133,61,3,299,12,1,174,13,90,2,20,1,38,9,57,4,7,7,1,13,160,23,1,92,2,20,0,1,6,0,7,2,0,0,1,5,13,0,12,0,0,1,0,1,1,161402,29486,131916,126597,44302,18682,388,60413,75,2737,5319,4951,644,78,1726,11,577,173,345,58,547,98,1,35,106,523,29,331,78,51,2,53,8,0,0,11,21,0,18,0,12,8,47,1,7,2,0,12,33,17,0,3,2,5,0,1,1,0,2,1,0,0,1,0,4,0,4,0,0,0,0,0,0
108,137962,123598,43712,4427,1725,49115,100,24519,14364,13413,635,335,1631,20,8836,60,152,6,654,76,7,530,119,304,48,795,102,45,0,230,6,3,235,20,79,1,2,1,21,5,20,4,2,7,1,11,141,11,1,103,1,8,0,0,8,0,3,0,2,0,4,0,15,8,6,1,0,0,0,0,0,137962,40652,97310,93452,39285,3778,102,48826,66,1395,3858,3615,473,197,1570,20,656,42,143,4,111,67,4,22,114,174,18,219,48,44,0,36,5,2,3,19,16,0,2,1,4,5,17,2,2,3,0,10,19,5,1,3,1,5,0,0,0,0,2,0,1,0,1,0,5,3,2,0,0,0,0,0,0
109,269581,252636,62277,6153,1234,154909,71,27992,16945,15986,544,244,1406,16,11252,118,171,26,951,99,7,498,185,400,69,765,93,47,5,250,17,1,140,8,98,1,15,0,28,4,31,2,4,7,2,12,177,36,5,111,1,11,0,0,8,0,3,0,1,1,0,0,14,5,9,0,0,0,0,3,3,269581,48845,220736,217267,55882,5407,157,154403,32,1386,3469,3221,339,117,1318,13,454,79,152,24,173,89,3,20,181,231,28,203,31,33,3,37,12,1,3,8,12,0,12,0,4,4,22,2,4,6,2,7,44,26,4,2,1,7,0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0
110,181051,162787,17365,8905,4829,66356,77,65255,18264,17319,400,199,820,9,11906,111,152,25,1452,157,8,1442,111,414,113,786,62,34,1,260,4,0,256,16,58,1,3,0,20,6,21,7,5,15,2,15,148,22,3,91,3,11,0,2,4,2,1,1,5,1,0,2,11,5,4,1,0,1,0,0,0,181051,93982,87069,84674,9329,7688,272,65964,24,1397,2395,2187,218,67,783,6,209,66,141,19,146,137,2,23,108,238,24,165,26,27,1,21,2,0,7,11,16,0,3,0,6,5,15,1,5,7,2,10,40,18,3,3,3,5,0,2,0,0,0,1,2,1,0,2,3,3,0,0,0,0,0,0,0
111,122211,114447,44586,2916,262,60251,15,6417,7764,7304,337,144,1033,6,4767,72,130,17,329,35,11,86,81,226,30,375,54,24,3,126,8,0,58,8,46,1,2,0,10,5,21,0,0,5,2,2,71,6,0,50,1,8,0,2,3,0,0,1,0,0,0,0,12,3,9,0,0,0,0,2,2,122211,14460,107751,105367,41967,2641,61,59980,10,708,2384,2231,263,102,979,2,332,59,123,15,78,29,4,15,80,134,16,133,32,20,2,31,5,0,2,5,7,0,0,0,2,4,16,0,0,4,1,2,16,5,0,5,1,3,0,1,0,0,0,1,0,0,0,0,2,0,2,0,0,0,0,2,2
112,119739,107000,55730,3829,451,37348,23,9619,12739,11877,472,191,3261,24,6534,51,175,9,556,56,7,143,73,285,40,696,105,51,1,213,7,2,122,11,116,1,5,0,16,5,25,1,2,7,2,4,152,17,0,101,0,22,0,1,4,0,1,1,1,1,1,2,13,6,5,1,0,1,0,1,1,119739,19600,100139,94820,52603,3443,109,37151,15,1499,5319,5058,369,107,3178,17,746,34,165,8,141,50,4,8,68,149,14,213,53,45,1,29,5,1,4,10,29,0,3,0,4,4,15,1,1,6,0,2,41,12,0,15,0,7,0,1,3,0,0,0,1,1,1,0,7,4,3,0,0,0,0,0,0
113,135221,123240,2734,100027,1480,7096,192,11711,11981,11176,981,77,143,6,1419,832,511,122,5517,211,26,273,59,853,146,664,161,64,1,129,14,3,44,7,56,2,22,0,41,8,87,4,1,12,1,7,130,42,1,63,3,11,1,0,1,0,0,1,4,1,0,2,9,3,5,1,0,0,0,2,2,135221,15209,120012,111714,1654,97441,1126,7019,150,4324,8298,7819,870,48,120,6,81,763,500,118,3991,203,24,165,57,763,110,405,119,54,0,54,10,2,3,7,20,0,18,0,24,6,70,4,1,9,0,4,70,38,1,19,3,6,0,0,0,0,0,0,2,1,0,0,3,2,1,0,0,0,0,1,1
114,208525,185191,102554,18486,1866,34179,209,27897,23334,21744,1669,566,2213,31,14018,236,243,40,1526,111,14,469,101,382,125,1276,210,81,6,374,23,0,261,23,125,3,17,0,33,10,59,11,5,15,6,14,280,49,4,172,1,27,0,1,10,1,2,2,5,1,3,2,34,10,24,0,0,0,0,0,0,208525,51513,157012,148603,94829,16518,364,33886,165,2841,8409,7921,1397,409,2113,28,2594,187,213,37,437,100,6,39,97,225,39,410,106,63,4,60,18,0,4,18,33,0,14,0,15,8,35,6,5,11,2,8,68,36,3,7,1,11,0,0,2,0,0,1,1,1,3,2,10,6,4,0,0,0,0,0,0
115,179134,154691,26261,10054,4894,34726,119,78637,24443,23033,590,249,785,21,16937,104,160,18,1918,86,3,1554,97,406,105,1182,143,32,2,447,11,7,353,15,89,4,7,0,24,4,23,6,2,6,2,5,214,12,1,161,1,12,1,0,3,0,2,4,5,0,0,12,11,2,9,0,0,0,0,3,3,179134,113447,65687,62999,17643,8690,282,34456,45,1883,2688,2493,340,96,735,18,441,60,144,17,244,76,0,25,92,187,18,166,56,23,2,11,7,0,1,14,11,0,7,0,4,2,16,4,2,2,2,2,25,9,0,7,1,3,0,0,1,0,1,2,0,0,0,1,2,0,2,0,0,0,0,2,2
120,122308,109715,46574,28782,1410,14002,63,18884,12593,11604,1399,399,755,40,6133,398,173,25,1683,23,5,320,56,138,57,833,202,38,0,290,23,3,134,12,42,2,11,2,56,3,8,4,0,0,1,2,147,22,1,105,2,9,1,1,3,0,2,1,0,0,0,0,9,2,4,1,1,0,1,0,0,122308,35890,86418,82767,41611,26021,248,13816,35,1036,3651,3419,1041,259,666,36,385,314,157,20,420,15,1,3,39,60,3,203,95,30,0,25,10,1,0,12,5,0,11,2,1,0,5,4,0,0,0,2,28,14,1,2,2,4,1,1,0,0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0
121,128149,117516,61832,17664,1517,19670,71,16762,10633,9892,1024,302,778,20,5794,220,156,12,1021,28,5,370,51,76,35,628,132,41,3,157,12,2,113,12,71,3,19,4,31,5,13,4,1,1,3,1,105,12,0,73,1,12,1,1,4,0,1,0,0,0,0,0,7,4,2,0,1,0,0,1,1,128149,31517,96632,93642,56936,16020,187,19517,39,943,2990,2763,776,211,689,15,391,159,136,7,261,25,4,1,41,42,5,204,70,30,3,22,7,1,1,12,10,2,11,2,12,4,10,4,1,1,0,1,21,7,0,8,0,3,1,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,0,0,0
122,144552,135413,104075,4494,464,18771,66,7543,9139,8581,657,313,1095,25,5704,86,71,15,377,8,1,99,40,74,16,499,85,29,7,152,14,1,71,24,70,5,6,1,15,1,3,4,2,2,0,7,52,8,0,36,2,6,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,0,1,1,144552,18737,125815,123032,99681,3831,116,18642,48,714,2783,2601,530,234,1050,21,486,58,65,7,64,8,0,5,37,34,2,168,33,19,7,32,10,0,0,23,22,1,6,0,2,0,1,3,2,1,0,6,12,6,0,2,0,4,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0
123,100738,94283,83038,1099,208,6836,34,3068,6455,6221,384,288,713,13,4474,22,53,7,154,4,1,38,18,42,10,201,33,23,0,42,4,0,42,5,31,0,1,0,8,1,8,1,0,1,0,1,29,2,0,22,0,4,0,0,0,0,0,0,1,0,0,0,4,1,3,0,0,0,0,0,0,100738,10816,89922,88028,79753,963,73,6778,13,448,1894,1814,305,241,646,12,471,6,47,6,49,2,1,2,14,12,0,74,21,14,0,3,2,0,1,5,14,0,1,0,4,0,6,1,0,1,0,1,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0
