PSA,P003001,P003002,P003003,P003004,P003005,P003006,P003007,P003008,P005001,P005002,P005003,P005004,P005005,P005006,P005007,P005008,P005009,P005010,P005011,P005012,P005013,P005014,P005015,P005016,P005017
101,6407,3259,1469,18,1331,4,149,177,6407,5986,3057,1438,17,1328,4,8,134,421,202,31,1,3,0,141,43
102,4864,1275,3218,14,200,3,44,110,4864,4692,1196,3188,9,196,3,8,92,172,79,30,5,4,0,36,18
103,5972,2915,2348,25,366,3,82,233,5972,5613,2722,2308,20,362,3,16,182,359,193,40,5,4,0,66,51
104,8890,4825,3421,21,230,11,115,267,8890,8475,4611,3360,19,220,11,21,233,415,214,61,2,10,0,94,34
105,5620,1096,4030,51,161,3,107,172,5620,5381,1032,3972,46,161,3,18,149,239,64,58,5,0,0,89,23
106,11181,6968,3349,40,388,7,120,309,11181,10592,6583,3310,36,385,7,30,241,589,385,39,4,3,0,90,68
107,15433,7946,6462,67,341,4,206,407,15433,14629,7532,6340,57,337,3,38,322,804,414,122,10,4,1,168,85
108,11821,8454,2491,46,347,5,157,321,11821,11327,8177,2470,35,339,5,25,276,494,277,21,11,8,0,132,45
201,14205,11678,1274,18,637,6,190,402,14205,13308,11021,1260,11,632,4,46,334,897,657,14,7,5,2,144,68
202,11906,10077,534,34,683,7,142,429,11906,11094,9441,530,17,676,6,43,381,812,636,4,17,7,1,99,48
203,17655,14260,1181,38,1388,4,266,518,17655,16349,13300,1150,23,1374,4,53,445,1306,960,31,15,14,0,213,73
204,24174,20403,979,66,1605,6,430,685,24174,22228,19032,928,33,1587,6,89,553,1946,1371,51,33,18,0,341,132
205,18910,16130,771,29,1147,7,250,576,18910,17553,15101,727,21,1141,7,67,489,1357,1029,44,8,6,0,183,87
206,16466,14050,569,23,1206,11,157,450,16466,15392,13202,545,17,1195,11,37,385,1074,848,24,6,11,0,120,65
207,17101,13400,1005,26,1908,3,188,571,17101,16112,12662,973,23,1901,2,36,515,989,738,32,3,7,1,152,56
208,17738,13612,1401,56,1641,25,460,543,17738,16091,12572,1356,31,1628,7,63,434,1647,1040,45,25,13,18,397,109
209,1983,1401,299,4,178,2,42,57,1983,1803,1278,290,4,174,2,5,50,180,123,9,0,4,0,37,7
301,11073,8019,1585,39,671,7,430,322,11073,9975,7438,1564,21,658,7,28,259,1098,581,21,18,13,0,402,63
302,19150,9850,4762,134,828,11,2655,910,19150,13805,7855,4575,40,814,6,54,461,5345,1995,187,94,14,5,2601,449
303,15621,11631,1753,52,829,14,779,563,15621,13539,10531,1684,30,822,8,53,411,2082,1100,69,22,7,6,726,152
304,12506,4353,5667,53,436,10,1456,531,12506,9787,3568,5464,26,427,7,34,261,2719,785,203,27,9,3,1422,270
305,6173,3073,2404,30,317,0,164,185,6173,5712,2854,2344,24,316,0,18,156,461,219,60,6,1,0,146,29
306,7834,1635,5524,30,166,7,154,318,7834,7379,1486,5398,17,159,6,33,280,455,149,126,13,7,1,121,38
307,12753,6607,3523,61,680,12,1460,410,12753,10262,5777,3459,32,678,6,51,259,2491,830,64,29,2,6,1409,151
308,10216,3225,5636,33,643,6,312,361,10216,9481,2925,5563,23,641,0,25,304,735,300,73,10,2,6,287,57
401,10869,2843,6701,56,225,5,604,435,10869,9690,2486,6573,28,222,4,44,333,1179,357,128,28,3,1,560,102
402,11721,1267,8268,55,149,11,1564,407,11721,9222,650,8140,22,142,11,37,220,2499,617,128,33,7,0,1527,187
403,13462,2123,8428,63,209,20,2093,526,13462,10005,1286,8209,34,202,5,48,221,3457,837,219,29,7,15,2045,305
404,11835,3269,5661,61,207,11,1891,735,11835,8407,2351,5467,30,205,8,68,278,3428,918,194,31,2,3,1823,457
405,15766,3994,10312,63,260,10,693,434,15766,14462,3613,10196,40,254,5,33,321,1304,381,116,23,6,5,660,113
406,9600,684,8107,24,67,6,455,257,9600,8796,508,8025,11,66,2,11,173,804,176,82,13,1,4,444,84
407,13121,1984,8938,73,180,4,1544,398,13121,10563,1332,8764,26,180,1,27,233,2558,652,174,47,0,3,1517,165
408,7815,2834,2610,55,276,5,1622,413,7815,4945,1939,2542,17,272,4,30,141,2870,895,68,38,4,1,1592,272
409,6037,1445,3373,25,122,1,925,146,6037,4459,968,3284,14,118,1,13,61,1578,477,89,11,4,0,912,85
501,4144,1685,2087,21,128,4,84,135,4144,3884,1567,2051,8,127,4,9,118,260,118,36,13,1,0,75,17
502,11121,1792,8366,46,159,7,474,277,11121,10234,1581,8250,25,149,6,29,194,887,211,116,21,10,1,445,83
503,9991,679,8598,43,111,1,277,282,9991,9429,537,8513,37,110,1,18,213,562,142,85,6,1,0,259,69
504,6588,1719,4272,35,130,0,168,264,6588,6078,1514,4204,22,126,0,4,208,510,205,68,13,4,0,164,56
505,5068,166,4655,18,18,0,124,87,5068,4844,129,4611,13,18,0,16,57,224,37,44,5,0,0,108,30
506,7389,431,6577,39,51,5,142,144,7389,7050,347,6502,26,50,5,4,116,339,84,75,13,1,0,138,28
507,11538,634,10451,34,51,1,148,219,11538,11200,533,10393,28,50,0,16,180,338,101,58,6,1,1,132,39
601,5574,50,5382,12,7,3,41,79,5574,5499,36,5370,9,7,3,1,73,75,14,12,3,0,0,40,6
602,9647,115,9178,32,14,1,148,159,9647,9367,75,9097,31,14,0,10,140,280,40,81,1,0,1,138,19
603,12959,118,12399,26,14,4,168,230,12959,12631,77,12321,21,14,4,9,185,328,41,78,5,0,0,159,45
604,13174,151,12575,31,20,3,152,242,13174,12821,100,12463,25,20,3,10,200,353,51,112,6,0,0,142,42
605,8924,180,8519,41,11,0,51,122,8924,8768,145,8455,38,11,0,13,106,156,35,64,3,0,0,38,16
606,5961,338,5429,29,23,2,40,100,5961,5849,306,5393,26,23,1,8,92,112,32,36,3,0,1,32,8
607,9529,241,9028,30,38,0,22,170,9529,9389,206,8960,27,38,0,6,152,140,35,68,3,0,0,16,18
608,8297,91,7937,21,20,0,92,136,8297,8117,60,7899,15,20,0,18,105,180,31,38,6,0,0,74,31
701,6371,87,6124,15,11,0,26,108,6371,6308,78,6106,9,11,0,4,100,63,9,18,6,0,0,22,8
702,6840,57,6648,12,11,0,14,98,6840,6760,48,6597,12,11,0,11,81,80,9,51,0,0,0,3,17
703,8549,410,7923,23,36,3,53,101,8549,8362,378,7847,19,35,3,7,73,187,32,76,4,1,0,46,28
704,9794,75,9517,10,20,0,40,132,9794,9672,57,9462,6,19,0,10,118,122,18,55,4,1,0,30,14
705,5713,109,5488,15,10,0,24,67,5713,5605,63,5457,14,10,0,4,57,108,46,31,1,0,0,20,10
706,9494,61,9255,19,15,6,22,116,9494,9391,47,9201,17,14,6,9,97,103,14,54,2,1,0,13,19
707,8280,1297,6507,27,82,2,95,270,8280,7934,1167,6429,24,77,2,6,229,346,130,78,3,5,0,89,41
708,10900,400,10157,17,54,9,63,200,10900,10668,327,10076,16,52,9,19,169,232,73,81,1,2,0,44,31
